Epoch 1 | avg_lossD 0.440530 | avg_lossG 4.239907 | epoch_time_s 14
Epoch 2 | avg_lossD 0.520587 | avg_lossG 3.416636 | epoch_time_s 14
Epoch 3 | avg_lossD 0.625574 | avg_lossG 2.827907 | epoch_time_s 14
Epoch 4 | avg_lossD 0.611836 | avg_lossG 2.682769 | epoch_time_s 15
Epoch 5 | avg_lossD 0.602222 | avg_lossG 2.641485 | epoch_time_s 14
Epoch 6 | avg_lossD 0.611603 | avg_lossG 2.615493 | epoch_time_s 14
Epoch 7 | avg_lossD 0.567525 | avg_lossG 2.637637 | epoch_time_s 15
Epoch 8 | avg_lossD 0.564399 | avg_lossG 2.552723 | epoch_time_s 14
Epoch 9 | avg_lossD 0.544335 | avg_lossG 2.708626 | epoch_time_s 14
Epoch 10 | avg_lossD 0.581017 | avg_lossG 2.712389 | epoch_time_s 14
Epoch 11 | avg_lossD 0.568022 | avg_lossG 2.682003 | epoch_time_s 14
Epoch 12 | avg_lossD 0.523585 | avg_lossG 2.664350 | epoch_time_s 14
Epoch 13 | avg_lossD 0.511336 | avg_lossG 2.682827 | epoch_time_s 14
Epoch 14 | avg_lossD 0.515189 | avg_lossG 2.730416 | epoch_time_s 15
Epoch 15 | avg_lossD 0.571185 | avg_lossG 2.688781 | epoch_time_s 15
Epoch 16 | avg_lossD 0.514366 | avg_lossG 2.687651 | epoch_time_s 14
Epoch 17 | avg_lossD 0.481198 | avg_lossG 2.734316 | epoch_time_s 14
Epoch 18 | avg_lossD 0.546480 | avg_lossG 2.766725 | epoch_time_s 14
Epoch 19 | avg_lossD 0.504137 | avg_lossG 2.775544 | epoch_time_s 14
Epoch 20 | avg_lossD 0.485113 | avg_lossG 2.788879 | epoch_time_s 14
Epoch 21 | avg_lossD 0.542636 | avg_lossG 2.824393 | epoch_time_s 14
Epoch 22 | avg_lossD 0.438082 | avg_lossG 2.793960 | epoch_time_s 15
Epoch 23 | avg_lossD 0.488323 | avg_lossG 2.937740 | epoch_time_s 14
Epoch 24 | avg_lossD 0.487918 | avg_lossG 2.933747 | epoch_time_s 14
Epoch 25 | avg_lossD 0.426228 | avg_lossG 2.990060 | epoch_time_s 14
Epoch 26 | avg_lossD 0.488679 | avg_lossG 2.999581 | epoch_time_s 14
Epoch 27 | avg_lossD 0.440130 | avg_lossG 3.047770 | epoch_time_s 14
Epoch 28 | avg_lossD 0.410112 | avg_lossG 3.117882 | epoch_time_s 14
Epoch 29 | avg_lossD 0.480765 | avg_lossG 3.158489 | epoch_time_s 14
Epoch 30 | avg_lossD 0.405464 | avg_lossG 3.111379 | epoch_time_s 14
Epoch 31 | avg_lossD 0.381210 | avg_lossG 3.175954 | epoch_time_s 14
Epoch 32 | avg_lossD 0.412410 | avg_lossG 3.235878 | epoch_time_s 14
Epoch 33 | avg_lossD 0.436535 | avg_lossG 3.146097 | epoch_time_s 14
Epoch 34 | avg_lossD 0.399404 | avg_lossG 3.206617 | epoch_time_s 14
Epoch 35 | avg_lossD 0.406219 | avg_lossG 3.191620 | epoch_time_s 14
Epoch 36 | avg_lossD 0.398584 | avg_lossG 3.260825 | epoch_time_s 14
Epoch 37 | avg_lossD 0.372594 | avg_lossG 3.348978 | epoch_time_s 14
Epoch 38 | avg_lossD 0.383281 | avg_lossG 3.302444 | epoch_time_s 14
Epoch 39 | avg_lossD 0.440337 | avg_lossG 3.284219 | epoch_time_s 14
Epoch 40 | avg_lossD 0.370385 | avg_lossG 3.339526 | epoch_time_s 14
Epoch 41 | avg_lossD 0.480896 | avg_lossG 3.346237 | epoch_time_s 14
Epoch 42 | avg_lossD 0.321187 | avg_lossG 3.354931 | epoch_time_s 14
Epoch 43 | avg_lossD 0.311963 | avg_lossG 3.443932 | epoch_time_s 14
Epoch 44 | avg_lossD 0.353646 | avg_lossG 3.457088 | epoch_time_s 14
Epoch 45 | avg_lossD 0.347599 | avg_lossG 3.444316 | epoch_time_s 14
Epoch 46 | avg_lossD 0.399668 | avg_lossG 3.536879 | epoch_time_s 15
Epoch 47 | avg_lossD 0.368577 | avg_lossG 3.627654 | epoch_time_s 14
Epoch 48 | avg_lossD 0.269811 | avg_lossG 3.492039 | epoch_time_s 14
Epoch 49 | avg_lossD 0.386107 | avg_lossG 3.673682 | epoch_time_s 14
Epoch 50 | avg_lossD 0.190414 | avg_lossG 3.626305 | epoch_time_s 14
Epoch 51 | avg_lossD 0.451371 | avg_lossG 3.693898 | epoch_time_s 14
Epoch 52 | avg_lossD 0.179451 | avg_lossG 3.710515 | epoch_time_s 14
Epoch 53 | avg_lossD 0.459485 | avg_lossG 3.641141 | epoch_time_s 15
Epoch 54 | avg_lossD 0.370378 | avg_lossG 3.789845 | epoch_time_s 14
Epoch 55 | avg_lossD 0.365871 | avg_lossG 3.645420 | epoch_time_s 14
Epoch 56 | avg_lossD 0.322071 | avg_lossG 3.731570 | epoch_time_s 14
Epoch 57 | avg_lossD 0.199652 | avg_lossG 3.738796 | epoch_time_s 14
Epoch 58 | avg_lossD 0.340444 | avg_lossG 3.735827 | epoch_time_s 14
Epoch 59 | avg_lossD 0.320026 | avg_lossG 3.881963 | epoch_time_s 14
Epoch 60 | avg_lossD 0.311570 | avg_lossG 3.840289 | epoch_time_s 16
Epoch 61 | avg_lossD 0.153622 | avg_lossG 3.932454 | epoch_time_s 14
Epoch 62 | avg_lossD 0.615439 | avg_lossG 3.711441 | epoch_time_s 14
Epoch 63 | avg_lossD 0.307446 | avg_lossG 3.805141 | epoch_time_s 14
Epoch 64 | avg_lossD 0.279862 | avg_lossG 3.932742 | epoch_time_s 14
Epoch 65 | avg_lossD 0.307206 | avg_lossG 3.836423 | epoch_time_s 14
Epoch 66 | avg_lossD 0.177531 | avg_lossG 3.935866 | epoch_time_s 14
Epoch 67 | avg_lossD 0.430314 | avg_lossG 3.940154 | epoch_time_s 16
Epoch 68 | avg_lossD 0.321704 | avg_lossG 3.854438 | epoch_time_s 15
Epoch 69 | avg_lossD 0.246203 | avg_lossG 3.939140 | epoch_time_s 15
Epoch 70 | avg_lossD 0.343060 | avg_lossG 4.026491 | epoch_time_s 15
Epoch 71 | avg_lossD 0.222705 | avg_lossG 3.854431 | epoch_time_s 15
Epoch 72 | avg_lossD 0.255941 | avg_lossG 3.983260 | epoch_time_s 14
Epoch 73 | avg_lossD 0.375047 | avg_lossG 4.156149 | epoch_time_s 15
Epoch 74 | avg_lossD 0.245787 | avg_lossG 3.937869 | epoch_time_s 14
Epoch 75 | avg_lossD 0.249160 | avg_lossG 3.975127 | epoch_time_s 14
